wavelength [um],"Bulb Spectra, No background"
0.377624,1526
0.37766,1524
0.377696,1563.6
0.377732,1570.4
0.377768,1555.6
0.377804,1566.8
0.37784,1535.2
0.377876,1576.4
0.377912,1564
0.377948,1560
0.377984,1528.4
0.378019,1548.8
0.378055,1526.4
0.378091,1578.4
0.378127,1582.4
0.378163,1588.4
0.378199,1587.6
0.378235,1588.8
0.378271,1558
0.378307,1562.4
0.378343,1566.8
0.378379,1606.4
0.378415,1604.4
0.37845,1586.8
0.378486,1590.4
0.378522,1604.8
0.378558,1555.2
0.378594,1621.6
0.37863,1586.8
0.378666,1604
0.378702,1612
0.378738,1566.8
0.378774,1611.6
0.378809,1596
0.378845,1597.6
0.378881,1611.6
0.378917,1605.2
0.378953,1638.4
0.378989,1594.4
0.379025,1631.2
0.379061,1586.8
0.379097,1645.6
0.379133,1646.4
0.379168,1648.4
0.379204,1616.8
0.37924,1618.4
0.379276,1645.2
0.379312,1624.8
0.379348,1627.2
0.379384,1641.2
0.37942,1634.4
0.379456,1640.8
0.379492,1662
0.379527,1655.2
0.379563,1646.4
0.379599,1654
0.379635,1676.8
0.379671,1659.6
0.379707,1677.6
0.379743,1637.6
0.379779,1651.6
0.379814,1638
0.37985,1637.2
0.379886,1649.6
0.379922,1641.6
0.379958,1667.2
0.379994,1664
0.38003,1670.8
0.380066,1714.4
0.380102,1683.2
0.380137,1710.8
0.380173,1682
0.380209,1675.2
0.380245,1682
0.380281,1700.4
0.380317,1674.4
0.380353,1720.4
0.380389,1695.2
0.380424,1691.2
0.38046,1687.6
0.380496,1658.8
0.380532,1742.4
0.380568,1686.4
0.380604,1676.8
0.38064,1705.6
0.380675,1680.8
0.380711,1678
0.380747,1705.6
0.380783,1697.6
0.380819,1734
0.380855,1702
0.380891,1762.4
0.380927,1700.4
0.380962,1728.4
0.380998,1733.2
0.381034,1731.2
0.38107,1737.6
0.381106,1729.6
0.381142,1737.2
0.381178,1738.8
0.381213,1771.2
0.381249,1733.6
0.381285,1735.6
0.381321,1717.2
0.381357,1708
0.381393,1740.4
0.381429,1731.2
0.381464,1722.8
0.3815,1761.6
0.381536,1729.2
0.381572,1727.2
0.381608,1765.2
0.381644,1725.2
0.381679,1739.2
0.381715,1746.8
0.381751,1779.6
0.381787,1749.6
0.381823,1760
0.381859,1760
0.381895,1771.6
0.38193,1800.4
0.381966,1724.8
0.382002,1805.6
0.382038,1769.2
0.382074,1765.6
0.38211,1770.8
0.382145,1824.4
0.382181,1805.6
0.382217,1754.8
0.382253,1760.8
0.382289,1785.2
0.382325,1765.2
0.38236,1811.6
0.382396,1788
0.382432,1774
0.382468,1794.4
0.382504,1792
0.38254,1804.8
0.382575,1801.2
0.382611,1830.8
0.382647,1834
0.382683,1785.2
0.382719,1786.8
0.382755,1824.8
0.38279,1794
0.382826,1827.6
0.382862,1824
0.382898,1809.6
0.382934,1817.2
0.382969,1804
0.383005,1853.6
0.383041,1817.2
0.383077,1837.6
0.383113,1796.4
0.383149,1838.4
0.383184,1825.2
0.38322,1870.8
0.383256,1819.2
0.383292,1851.2
0.383328,1832
0.383363,1842
0.383399,1877.2
0.383435,1822
0.383471,1829.6
0.383507,1824
0.383543,1846
0.383578,1806.4
0.383614,1851.6
0.38365,1848.4
0.383686,1860
0.383722,1858.4
0.383757,1912.4
0.383793,1888
0.383829,1857.2
0.383865,1884.8
0.383901,1844.4
0.383936,1857.6
