wavelength [nm],intensity,std of intensity,Backgroundless I,eV,True Spectrum,,I/2,True Spec / 2,,2I,2 True Spec
333.852,1619.3333333333333,19.344824171395878,571.7333333333333,3.714220672633383,219.10142541673082,,285.8666666666667,109.55071270836541,,1143.4666666666667,438.20285083346164
333.889,1616.0,5.656854249492381,564.8,3.7138090802632013,216.21988987891777,,282.4,108.10994493945888,,1129.6,432.43977975783554
333.925,1619.3333333333333,8.055363982396381,566.1333333333332,3.713408699558284,216.511639089882,,283.0666666666666,108.255819544941,,1132.2666666666664,433.023278179764
333.961,1613.3333333333333,2.494438257849294,563.3333333333333,3.713008405173059,215.22348462518568,,281.66666666666663,107.61174231259284,,1126.6666666666665,430.44696925037135
333.998,1623.3333333333333,15.69146972791976,572.5333333333333,3.7125970814196494,218.51166298686832,,286.26666666666665,109.25583149343416,,1145.0666666666666,437.02332597373663
334.034,1595.3333333333333,9.428090415820634,543.3333333333333,3.7121969619859057,207.1581983492511,,271.66666666666663,103.57909917462555,,1086.6666666666665,414.3163966985022
334.07,1593.3333333333333,8.379870059984356,545.3333333333333,3.71179692878738,207.71117857150767,,272.66666666666663,103.85558928575384,,1090.6666666666665,415.42235714301535
334.107,1642.0,9.93310961716756,584.4000000000001,3.7113858733878664,222.3607046709972,,292.20000000000005,111.1803523354986,,1168.8000000000002,444.7214093419944
334.143,1602.6666666666667,20.677416559027765,553.8666666666668,3.710986014969639,210.53066167080868,,276.9333333333334,105.26533083540434,,1107.7333333333336,421.06132334161737
334.179,1562.0,11.430952132988164,515.2,3.7105862427022647,195.63582793688383,,257.6,97.81791396844191,,1030.4,391.27165587376766
334.216,1593.3333333333333,23.170862929310356,544.9333333333332,3.710175455394116,206.71228778350007,,272.4666666666666,103.35614389175004,,1089.8666666666663,413.42457556700015
334.252,1568.6666666666667,7.363574011458174,521.4666666666667,3.709775857736079,197.6114594755368,,260.73333333333335,98.8057297377684,,1042.9333333333334,395.2229189510736
334.288,1586.6666666666667,19.136933459209764,537.0666666666668,3.7093763461446416,203.31833516395434,,268.5333333333334,101.65916758197717,,1074.1333333333337,406.6366703279087
334.325,1609.3333333333333,13.299958228840001,559.7333333333333,3.7089658266656698,211.68021586417305,,279.8666666666667,105.84010793208653,,1119.4666666666667,423.3604317283461
334.361,1624.0,17.048949136725895,573.2,3.708566489512832,216.5550400405106,,286.6,108.2775200202553,,1146.4,433.1100800810212
334.397,1596.6666666666667,18.78533707147383,545.0666666666668,3.7081672383424493,205.71922158340163,,272.5333333333334,102.85961079170082,,1090.1333333333337,411.43844316680327
334.434,1584.0,7.118052168020874,539.2,3.7077569864308053,203.29479324560842,,269.6,101.64739662280421,,1078.4,406.58958649121683
334.47,1561.3333333333333,3.39934634239519,511.33333333333326,3.7073579095285076,192.5944878582038,,255.66666666666663,96.2972439291019,,1022.6666666666665,385.1889757164076
334.506,1591.3333333333333,9.568466729604882,535.7333333333333,3.7069589185246308,201.58207564339315,,267.8666666666667,100.79103782169658,,1071.4666666666667,403.1641512867863
334.543,1577.3333333333333,13.299958228840001,532.1333333333332,3.7065489339188087,200.02081954973318,,266.0666666666666,100.01040977486659,,1064.2666666666664,400.04163909946635
334.579,1572.0,9.93310961716756,523.5999999999999,3.7061501170127236,196.6156632553241,,261.79999999999995,98.30783162766205,,1047.1999999999998,393.2313265106482
